10/24/2017,7:00 PM,Arizona Coyotes,New York Islanders
10/24/2017,7:00 PM,Anaheim Ducks,Philadelphia Flyers
10/24/2017,7:00 PM,Edmonton Oilers,Pittsburgh Penguins
10/24/2017,7:00 PM,Tampa Bay Lightning,Carolina Hurricanes
10/24/2017,7:30 PM,Florida Panthers,Montreal Canadiens
10/24/2017,7:30 PM,Los Angeles Kings,Ottawa Senators
10/24/2017,8:00 PM,Calgary Flames,Nashville Predators
10/24/2017,8:00 PM,Vancouver Canucks,Minnesota Wild
10/24/2017,9:00 PM,Dallas Stars,Colorado Avalanche
10/24/2017,10:00 PM,Chicago Blackhawks,Vegas Golden Knights
10/25/2017,8:00 PM,Calgary Flames,St. Louis Blues
10/25/2017,8:00 PM,Buffalo Sabres,Columbus Blue Jackets
10/26/2017,7:00 PM,San Jose Sharks,Boston Bruins
10/26/2017,7:00 PM,Carolina Hurricanes,Toronto Maple Leafs
10/26/2017,7:00 PM,Arizona Coyotes,New York Rangers
10/26/2017,7:00 PM,Winnipeg Jets,Pittsburgh Penguins
10/26/2017,7:30 PM,Los Angeles Kings,Montreal Canadiens
10/26/2017,7:30 PM,Philadelphia Flyers,Ottawa Senators
10/26/2017,7:30 PM,Detroit Red Wings,Tampa Bay Lightning
10/26/2017,7:30 PM,Anaheim Ducks,Florida Panthers
10/26/2017,8:00 PM,New York Islanders,Minnesota Wild
10/26/2017,9:00 PM,Dallas Stars,Edmonton Oilers
10/26/2017,10:00 PM,Washington Capitals,Vancouver Canucks
10/27/2017,6:00 PM,Colorado Avalanche,Vegas Golden Knights
10/27/2017,7:00 PM,Ottawa Senators,New Jersey Devils
10/27/2017,7:00 PM,Winnipeg Jets,Columbus Blue Jackets
10/27/2017,7:30 PM,St. Louis Blues,Carolina Hurricanes
10/27/2017,8:30 PM,Nashville Predators,Chicago Blackhawks
10/27/2017,9:00 PM,Dallas Stars,Calgary Flames
10/28/2017,1:00 PM,San Jose Sharks,Buffalo Sabres
10/28/2017,7:00 PM,Los Angeles Kings,Boston Bruins
10/28/2017,7:00 PM,Philadelphia Flyers,Toronto Maple Leafs
10/28/2017,7:00 PM,New York Rangers,Montreal Canadiens
10/28/2017,7:00 PM,Anaheim Ducks,Tampa Bay Lightning
10/28/2017,7:00 PM,Detroit Red Wings,Florida Panthers
10/28/2017,7:00 PM,Arizona Coyotes,New Jersey Devils
10/28/2017,8:00 PM,Columbus Blue Jackets,St. Louis Blues
10/28/2017,8:00 PM,New York Islanders,Nashville Predators
10/28/2017,8:00 PM,Pittsburgh Penguins,Minnesota Wild
10/28/2017,9:00 PM,Chicago Blackhawks,Colorado Avalanche
10/28/2017,10:00 PM,Washington Capitals,Edmonton Oilers
10/29/2017,5:00 PM,Anaheim Ducks,Carolina Hurricanes
10/29/2017,7:00 PM,Pittsburgh Penguins,Winnipeg Jets
10/29/2017,9:00 PM,Washington Capitals,Calgary Flames
10/30/2017,7:00 PM,Vegas Golden Knights,New York Islanders
10/30/2017,7:00 PM,Arizona Coyotes,Philadelphia Flyers
10/30/2017,7:00 PM,Boston Bruins,Columbus Blue Jackets
10/30/2017,7:30 PM,Montreal Canadiens,Ottawa Senators
10/30/2017,7:30 PM,Tampa Bay Lightning,Florida Panthers
10/30/2017,8:00 PM,Los Angeles Kings,St. Louis Blues
10/30/2017,10:00 PM,Dallas Stars,Vancouver Canucks
10/30/2017,10:30 PM,Toronto Maple Leafs,San Jose Sharks
10/31/2017,7:00 PM,Vegas Golden Knights,New York Rangers
10/31/2017,7:30 PM,Arizona Coyotes,Detroit Red Wings
10/31/2017,8:00 PM,Winnipeg Jets,Minnesota Wild
11/1/2017,8:00 PM,Philadelphia Flyers,Chicago Blackhawks
11/1/2017,8:30 PM,Pittsburgh Penguins,Edmonton Oilers
11/1/2017,10:00 PM,New Jersey Devils,Vancouver Canucks
11/1/2017,10:00 PM,Toronto Maple Leafs,Anaheim Ducks
11/1/2017,10:30 PM,Nashville Predators,San Jose Sharks
